,crypto,ann_model,n_layers,drop_rate,optimizer,ann_mse_in,ann_mse_out,best_model_ts_or_ann,test_size,ts_model,ts_dist,ts_p,ts_q,ts_mse_in,ts_mse_out
41,EOS,model2,3,0.4,sgd,0.11839138702782509,0.12862413009797238,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
42,EOS,model3,3,0.4,sgd,0.031835224036570194,0.145479744633302,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
43,EOS,model4,3,0.4,sgd,0.0332759819807602,0.40425551779749114,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
44,EOS,model5,2,0.4,sgd,,,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
45,EOS,model1,4,0.5,sgd,0.13267971314750351,0.3833953718475948,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
46,EOS,model2,3,0.5,sgd,0.4436796181737543,0.25374666652405764,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
47,EOS,model3,3,0.5,sgd,0.04627607490580816,0.1465066967256548,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
48,EOS,model4,3,0.5,sgd,0.06941899180516496,0.5581028398299059,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
49,EOS,model5,2,0.5,sgd,,,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
50,EOS,model1,4,0.4,rmsprop,0.12843075933885742,0.14170027285748496,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
51,EOS,model2,3,0.4,rmsprop,0.1767649119133716,0.11875653765256831,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
52,EOS,model3,3,0.4,rmsprop,0.013936252424402254,0.17464922845495195,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
53,EOS,model4,3,0.4,rmsprop,0.05023847267005618,0.42075438649449126,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
54,EOS,model5,2,0.4,rmsprop,0.03947616418680319,0.10862651630150562,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
55,EOS,model1,4,0.5,rmsprop,0.22602268834630926,0.15088969673015687,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
56,EOS,model2,3,0.5,rmsprop,0.2003347418837614,0.1532142199822609,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
57,EOS,model3,3,0.5,rmsprop,0.018814821004659147,0.15771648032841568,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
58,EOS,model4,3,0.5,rmsprop,0.058386406542121114,0.5066207439431029,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
59,EOS,model5,2,0.5,rmsprop,0.04033091792940989,0.11321927089795109,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
60,EOS,model1,4,0.4,sgd,0.1087380255592036,0.4515765900117146,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
61,EOS,model2,3,0.4,sgd,0.12098336605342118,0.5159756953747857,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
62,EOS,model3,3,0.4,sgd,0.036467470892972045,0.2524262990383123,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
63,EOS,model4,3,0.4,sgd,0.09059967921226175,2.063598429656713,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
64,EOS,model5,2,0.4,sgd,,,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
65,EOS,model1,4,0.5,sgd,0.14666797736516365,0.2938275795109225,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
