Date,open,high,low,close,market_cap,lagged_open,lagged_close,log_price,pct_change,returns,log_returns,idx,stdev14,stdev30,stdev60,hvol14,hvol30,hvol60,variance14,variance30,variance60,sma_14,sma_28,sma_12,lagged_sma_12,ema_12,sma_26,lagged_sma_26,ema_26,rsi,macd,momentum,boll_bands_upper_band,boll_bands_lower_band
2015-03-05,272.74,281.67,264.77,276.18,3841201000,275.6,272.72,5.621052827057205,0.011251415871897485,1.1251415871897485,0.011251415871898162,674,0.02773784162911599,0.035330143046084665,0.05879223995964152,0.5299307202439776,0.6749814351482073,1.1232241673002346,0.2808265682583008,0.45559993779473357,1.2616325300073052,253.62499999999952,242.38214285714236,255.20333333333272,258.26499999999936,261.0211538461533,243.71846153846138,245.61499999999984,247.8790740740739,64.52451710709806,13.142079772079398,19.879999999999995,291.79077610395166,261.1177953246188
2015-03-06,275.6,277.61,270.02,272.72,3794156466,272.29,276.26,5.6084456278296475,-0.012607199227557153,-1.2607199227557153,-0.012607199227557344,675,0.028293573784959773,0.03546736444515533,0.05861290574295699,0.5405479681736038,0.6776030462964256,1.1197979919011989,0.29219210589661143,0.459145888350196,1.2539475426659574,255.69214285714233,244.18392857142808,258.26499999999936,261.37916666666604,263.1239102564097,245.61499999999984,247.77461538461526,249.62242165242154,62.116007916125255,13.501488603988179,11.79000000000002,294.4761209634739,262.93387903652507
2015-03-07,272.29,277.85,270.13,276.26,3844351385,276.43,274.35,5.621342451271814,0.012896823442166472,1.2896823442166472,0.012896823442166026,676,0.02828416198160597,0.03424124101950388,0.05838467004796483,0.5403681559230054,0.6541779911406762,1.1154375550709006,0.29199774393562944,0.4279488440928506,1.2442009392625484,257.9585714285709,245.91642857142807,261.37916666666604,264.34666666666607,266.17948717948667,247.77461538461526,249.87115384615373,251.82588319088308,63.612543642468275,14.353603988603595,14.509999999999991,296.55608778667386,264.801055070468
2015-03-08,276.43,277.86,272.57,274.35,3818877362,274.81,289.61,5.614404663504985,-0.006937787766829295,-0.6937787766829295,-0.006937787766829251,677,0.025944013999201168,0.034218980517583514,0.05827008840806648,0.4956596914947012,0.6537527048486357,1.1132484759143475,0.24567852977262236,0.42739259909690736,1.2393221691256175,260.69928571428517,247.7357142857138,264.34666666666607,268.6916666666661,269.562179487179,249.87115384615373,252.57999999999987,254.19259259259246,62.18518512147372,15.369586894586519,14.330000000000041,297.21021096235665,267.88836046621384
2015-03-09,274.81,292.7,273.89,289.61,4032241702,289.86,291.76,5.6685351903021415,0.0541305267971568,5.41305267971568,0.054130526797157186,678,0.028254832016809815,0.035127225217552537,0.05849227607029948,0.5398078077323645,0.6711046954774645,1.1174933652410233,0.2913924692888214,0.45038151229190043,1.248791421357707,264.3221428571423,250.21785714285667,268.6916666666661,273.30249999999944,275.8113461538457,252.57999999999987,255.27230769230755,257.8158404558403,68.3043933091459,17.99550569800539,21.650000000000034,299.6419883648945,267.5880116351045
2015-03-10,289.86,300.04,289.74,291.76,4063305050,291.52,296.38,5.675931546500425,0.0073963561982832715,0.7396356198283272,0.00739635619828326,679,0.028037857500396005,0.034761977681582415,0.05841480901136405,0.5356625154167193,0.6641266511006875,1.1160133591581511,0.286934330422567,0.44106420870221424,1.2454858178194606,268.1092857142852,252.7864285714281,273.30249999999944,276.8483333333328,279.14243589743546,255.27230769230755,257.6165384615383,260.1456837606836,69.06396114233237,18.996752136751866,25.019999999999982,299.80631737238866,267.96796834189615
2015-03-11,291.52,297.39,290.51,296.38,4128796573,296.13,294.35,5.691642414762033,0.015710868261607835,1.5710868261607835,0.01571086826160756,680,0.027502596328123765,0.034497176362648756,0.057999533272674125,0.5254363650790839,0.6590676290058765,1.1080795273104418,0.2760833737475203,0.43437013960342763,1.2278402388445322,272.31714285714236,255.54357142857094,276.8483333333328,280.1891666666661,282.6800641025636,257.6165384615383,259.0407692307691,261.8066381766381,70.68943462927876,20.873425925925517,50.78,298.23715718658127,267.1385570991321
2015-03-12,296.13,297.09,292.41,294.35,4101535995,294.12,285.34,5.68476953547427,-0.006872879287762146,-0.6872879287762146,-0.006872879287761952,681,0.02764011045903686,0.034572772009334764,0.05783017411581742,0.528063568861299,0.6605118818079249,1.1048439251618312,0.2788511327585319,0.4362759460094461,1.220680098967002,276.4542857142852,258.136071428571,280.1891666666661,282.2841666666661,284.1404487179483,259.0407692307691,260.98384615384606,263.455413105413,68.97451956465675,20.685035612535273,48.150000000000034,297.1654026673564,266.03174018978564
2015-03-13,294.12,294.5,285.34,285.34,3976948638,284.44,281.89,5.653681451686668,-0.031088083787602194,-3.1088083787602194,-0.03108808378760221,682,0.025454072102634742,0.035277871663544146,0.05797557586763701,0.486299364703715,0.6739827917869744,1.1076218217298759,0.2364870721112368,0.45425280362496406,1.226826099972209,278.7049999999995,259.91857142857094,282.2841666666661,282.80249999999944,283.1928846153842,260.98384615384606,262.831923076923,264.49918803418797,61.80743890861348,18.693696581196207,36.809999999999974,295.1107705150023,266.5192294849968
2015-03-14,284.44,286.34,280.98,281.89,3929758785,281.42,286.39,5.641516923918676,-0.012164527767992261,-1.2164527767992261,-0.012164527767992261,683,0.025958452174260488,0.035471871278186115,0.053549977683523334,0.4959355324418988,0.6776891492205809,1.0230708871410787,0.24595205233842968,0.4592625829713147,1.0466740401156338,280.67857142857093,260.796071428571,282.80249999999944,283.19333333333276,282.99282051282,262.831923076923,264.4773076923076,265.76713675213665,59.26791534364552,17.225683760683353,34.859999999999985,294.1738218855851,265.13617811441384
2015-03-15,281.42,286.53,281.0,286.39,3993628668,285.68,290.59,5.657354518275788,0.015837594357112295,1.5837594357112295,0.0158375943571123,684,0.025710582878655165,0.034185393891117015,0.04338301333984593,0.4911999961985663,0.6531110332509699,0.8288313060885888,0.24127743626547155,0.42655402175414947,0.686961333952516,282.54928571428525,262.6378571428567,283.19333333333276,284.65166666666613,284.9191025641021,264.4773076923076,266.5642307692307,268.03280626780617,61.4904959789208,16.88629629629594,33.589999999999975,293.5552874492037,264.8418554079381
2015-03-16,285.68,294.11,285.68,290.59,4053198429,290.6,285.51,5.671913338981806,0.014558820706017883,1.4558820706017883,0.014558820706017696,685,0.021695036165949207,0.030634242894492084,0.03834819668678467,0.41448308397119543,0.5852663887216996,0.7326412689931122,0.17179622689827304,0.34253674576733956,0.5367632290318378,283.6149999999995,264.66464285714244,284.65166666666613,285.42916666666616,286.2231410256406,266.5642307692307,268.3038461538461,269.9546723646723,63.492760025236926,16.268468660968267,47.87999999999997,289.60856542680284,265.52143457319613
2015-03-17,290.6,292.36,284.37,285.51,3983144494,285.07,256.3,5.654277054752361,-0.017636284229444854,-1.7636284229444854,-0.017636284229444434,686,0.02174170606981255,0.025371668280909223,0.0384222904523044,0.41537471123256314,0.48472504190016913,0.7340568283957675,0.17253615073153522,0.23495836624512073,0.5388394273144532,283.8871428571424,266.161071428571,285.42916666666616,284.0608333333328,284.2837820512816,268.3038461538461,268.7853846153846,270.024245014245,59.46543110493959,14.25953703703658,37.97999999999999,286.19395941165124,262.34175487406196
