,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
29,GARCH,ConstantMean,skewstudent,1,1,344858.18394383206,344890.119006436,-172423.09197191603
30,GARCH,ConstantMean,normal,1,2,-4315.113520888641,-4288.500968718654,2162.5567604443204
31,GARCH,ConstantMean,studentst,1,2,-4569.135558408239,-4537.200495804255,2290.5677792041197
32,GARCH,ConstantMean,skewstudent,1,2,-2441.0807457063725,-2403.8231726683907,1227.5403728531862
33,GARCH,ConstantMean,normal,1,3,-4318.293119723106,-4286.358057119122,2165.146559861553
34,GARCH,ConstantMean,studentst,1,3,-130.71031465175284,-93.45274161377108,72.35515732587642
35,GARCH,ConstantMean,skewstudent,1,3,-3931.011673665676,-3888.431590193697,1973.505836832838
36,GARCH,ConstantMean,normal,2,1,-4317.921839038804,-4291.309286868817,2163.960919519402
37,GARCH,ConstantMean,studentst,2,1,-4425.623054426936,-4393.6879918229515,2218.811527213468
38,GARCH,ConstantMean,skewstudent,2,1,-2663.8120893799605,-2626.554516341979,1338.9060446899803
39,GARCH,ConstantMean,normal,2,2,-4317.802612276253,-4285.867549672269,2164.9013061381265
40,GARCH,ConstantMean,studentst,2,2,-3037.898169621745,-3000.6405965837635,1525.9490848108726
41,GARCH,ConstantMean,skewstudent,2,2,-2417.8936549839327,-2375.3135715119533,1216.9468274919664
42,GARCH,ConstantMean,normal,2,3,-4298.178492237789,-4260.920919199807,2156.0892461188946
43,GARCH,ConstantMean,studentst,2,3,-4046.7462917856765,-4004.166208313697,2031.3731458928382
44,GARCH,ConstantMean,skewstudent,2,3,189013.064070208,189060.96666411398,-94497.532035104
45,GARCH,ConstantMean,normal,3,1,-4315.921838812896,-4283.986776208912,2163.960919406448
46,GARCH,ConstantMean,studentst,3,1,-2924.404558155609,-2887.146985117627,1469.2022790778044
47,GARCH,ConstantMean,skewstudent,3,1,-2562.696781909479,-2520.1166984374995,1289.3483909547394
48,GARCH,ConstantMean,normal,3,2,-4315.802612409907,-4278.545039371925,2164.9013062049535
49,GARCH,ConstantMean,studentst,3,2,-1711.5987650634024,-1669.0186815914233,863.7993825317012
50,GARCH,ConstantMean,skewstudent,3,2,10138.098937268562,10186.001531174537,-5060.049468634281
51,GARCH,ConstantMean,normal,3,3,-4314.293119808647,-4271.713036336668,2165.1465599043236
52,GARCH,ConstantMean,studentst,3,3,-4445.757008079056,-4397.854414173079,2231.878504039528
53,GARCH,ConstantMean,skewstudent,3,3,-2567.3454150762313,-2514.1203107362576,1293.6727075381157
54,EGARCH,ConstantMean,normal,1,1,-4325.535449467863,-4304.2454077318735,2166.7677247339316
55,EGARCH,ConstantMean,studentst,1,1,-4576.920115544683,-4550.307563374696,2293.4600577723413
56,EGARCH,ConstantMean,skewstudent,1,1,-4582.200958278803,-4550.265895674819,2297.1004791394016
57,EGARCH,ConstantMean,normal,1,2,-4325.509095942382,-4298.8965437723955,2167.754547971191
58,EGARCH,ConstantMean,studentst,1,2,-4576.015758880947,-4544.080696276963,2294.0078794404735
59,EGARCH,ConstantMean,skewstudent,1,2,-4581.315010742905,-4544.057437704922,2297.6575053714523
60,EGARCH,ConstantMean,normal,1,3,-4323.743692680068,-4291.808630076084,2167.871846340034
61,EGARCH,ConstantMean,studentst,1,3,-4574.050099314667,-4536.792526276685,2294.0250496573335
62,EGARCH,ConstantMean,skewstudent,1,3,-4579.320691969533,-4536.740608497554,2297.6603459847665
63,EGARCH,ConstantMean,normal,2,1,-4326.088374762498,-4299.475822592511,2168.044187381249
64,EGARCH,ConstantMean,studentst,2,1,10886.617615806117,10918.552678410102,-5437.308807903059
65,EGARCH,ConstantMean,skewstudent,2,1,12080.840831847974,12118.098404885955,-6033.420415923987
66,EGARCH,ConstantMean,normal,2,2,-4324.088374710629,-4292.153312106645,2168.0441873553145
67,EGARCH,ConstantMean,studentst,2,2,-4573.812529296651,-4536.554956258668,2293.9062646483253
68,EGARCH,ConstantMean,skewstudent,2,2,-4579.163843844589,-4536.5837603726095,2297.5819219222944
69,EGARCH,ConstantMean,normal,2,3,-4322.088374535834,-4284.830801497852,2168.044187267917
70,EGARCH,ConstantMean,studentst,2,3,-4571.812529595662,-4529.232446123683,2293.906264797831
71,EGARCH,ConstantMean,skewstudent,2,3,-4577.977809124393,-4530.075215218417,2297.9889045621967
72,EGARCH,ConstantMean,normal,3,1,-4324.106524860096,-4292.171462256112,2168.053262430048
73,EGARCH,ConstantMean,studentst,3,1,-4574.062295055958,-4536.804722017976,2294.031147527979
74,EGARCH,ConstantMean,skewstudent,3,1,-4579.313243374293,-4536.733159902314,2297.6566216871465
75,EGARCH,ConstantMean,normal,3,2,-4323.638227936194,-4286.380654898212,2168.819113968097
76,EGARCH,ConstantMean,studentst,3,2,20062.91173712937,20105.491820601346,-10023.455868564684
77,EGARCH,ConstantMean,skewstudent,3,2,-4578.768567449957,-4530.8659735439805,2298.3842837249786
78,EGARCH,ConstantMean,normal,3,3,-4321.6382278698675,-4279.058144397888,2168.8191139349337
79,EGARCH,ConstantMean,studentst,3,3,-4428.7579007552395,-4380.855306849263,2223.3789503776197
80,EGARCH,ConstantMean,skewstudent,3,3,-4576.251315775009,-4523.026211435035,2298.1256578875045
